,word_values,pred
7249,allahsoil,0.94200903
38121,sjw,0.91442907
26652,hispan,0.9019368
34601,antisemit,0.8973411
13814,misogynist,0.890154
13018,blacklivesmatt,0.8798044
34293,altright,0.8774158
35308,jew,0.8708278
20352,vandalis,0.8625717
12203,wonthey,0.85984224
32536,stomp,0.8532753
11022,putinschoic,0.8521619
9583,white,0.8478253
15756,carl,0.8475459
22420,sikh,0.8473396
28190,misogyni,0.8419473
24348,carlpaladino,0.834165
12104,paladino,0.83124286
2227,feminismisterror,0.83040345
31931,fascism,0.83035463
14438,libtard,0.8285078
12189,malevot,0.82791924
11523,feminismmuktbharat,0.8248972
30209,wso,0.82472944
30750,polaris,0.8236254
26894,leftright,0.8199899
12858,racism,0.8187938
14442,feminismiscanc,0.8146159
25152,thrown,0.8140684
5314,kkk,0.80324674
16236,boycott,0.80285454
14453,whitepeopl,0.8015661
7970,maga,0.79623115
36063,calgari,0.79422
31292,race,0.79347825
34083,putin,0.7934111
28165,israel,0.79288673
13354,antirac,0.7924675
3363,emirati,0.79211366
23553,unleash,0.7882215
35618,nigger,0.78590626
477,â¦â¦,0.78355205
12930,stoprac,0.7816135
16918,blatant,0.7813719
12206,resign,0.7776092
13198,nazi,0.7719556
14696,jeffsess,0.76612175
6670,bigotri,0.76558983
15597,islamophobia,0.75855255
27210,bigot,0.75290775
17645,rondarousey,0.7511164
4085,palestinian,0.749954
36341,michelleobama,0.74615276
38323,anc,0.7456995
23297,homophob,0.745512
20187,tampa,0.74196535
30276,treason,0.74122846
720,latest,0.7407831
30773,inaugur,0.74027634
10000,adulteri,0.73979294
20632,chick,0.7397678
37714,jeff,0.73511934
38131,xenophobia,0.7349874
34407,notmypresid,0.734777
24816,sharpen,0.73328054
30791,marijuana,0.73110116
17466,southafrica,0.7296165
15581,policebrut,0.72942257
11906,teambt,0.72857
24528,blm,0.72536284
3819,phillysuppophilli,0.72525495
30656,auspol,0.724265
15812,sexist,0.7241134
29970,christma,0.7237675
636,discrimin,0.7212081
12862,whâ¦,0.7211841
25249,industri,0.7191836
24981,unpresid,0.7163583
8175,combat,0.7146828
7083,blicqerâ¢,0.7144768
13827,radicalis,0.71334624
32803,belgian,0.7123822
22967,swastika,0.71177477
11320,cologn,0.7106248
13943,cop,0.70992756
11589,arab,0.7086098
36578,vid,0.7047736
34168,pos,0.7047591
16121,fascist,0.7028972
23049,hatespeech,0.7012689
30462,theresist,0.7009977
22753,riddanc,0.697311
1613,supremaci,0.69516236
18527,racist,0.6942533
